2025-01-27 23:34:41,059 - bot.scheduler - INFO - WebSocket thread started.
2025-01-27 23:34:41,064 - bot.scheduler - INFO - Signal-sending job scheduled.
2025-01-27 23:34:42,517 - bot.scheduler - INFO - WebSocket connection established.
2025-01-28 23:19:08,613 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100889.8', 'high': '101080', 'low': '100731', 'volume': '575.001', 'turnover': '58042759.8418', 'confirm': False, 'timestamp': 1738102748560}]
2025-01-28 23:19:09,614 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100889', 'high': '101080', 'low': '100731', 'volume': '580.583', 'turnover': '58606007.4311', 'confirm': False, 'timestamp': 1738102749560}]
2025-01-28 23:19:10,626 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100901.8', 'high': '101080', 'low': '100731', 'volume': '585.39', 'turnover': '59091031.8686', 'confirm': False, 'timestamp': 1738102750559}]
2025-01-28 23:19:11,616 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100900', 'high': '101080', 'low': '100731', 'volume': '585.468', 'turnover': '59098902.0701', 'confirm': False, 'timestamp': 1738102751559}]
2025-01-28 23:19:12,688 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100890.9', 'high': '101080', 'low': '100731', 'volume': '585.512', 'turnover': '59103341.477', 'confirm': False, 'timestamp': 1738102752560}]
2025-01-28 23:19:13,611 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100900', 'high': '101080', 'low': '100731', 'volume': '586.121', 'turnover': '59164784.0147', 'confirm': False, 'timestamp': 1738102753559}]
2025-01-28 23:19:14,619 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100911.9', 'high': '101080', 'low': '100731', 'volume': '586.207', 'turnover': '59173462.2606', 'confirm': False, 'timestamp': 1738102754559}]
2025-01-28 23:19:15,613 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100916.3', 'high': '101080', 'low': '100731', 'volume': '587.231', 'turnover': '59276796.1612', 'confirm': False, 'timestamp': 1738102755559}]
2025-01-28 23:19:16,679 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100916.3', 'high': '101080', 'low': '100731', 'volume': '587.265', 'turnover': '59280227.313', 'confirm': False, 'timestamp': 1738102756559}]
2025-01-28 23:19:17,612 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100920', 'high': '101080', 'low': '100731', 'volume': '587.342', 'turnover': '59287997.9131', 'confirm': False, 'timestamp': 1738102757560}]
2025-01-28 23:19:18,620 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100905.2', 'high': '101080', 'low': '100731', 'volume': '587.509', 'turnover': '59304851.1037', 'confirm': False, 'timestamp': 1738102758559}]
2025-01-28 23:19:19,615 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100901.8', 'high': '101080', 'low': '100731', 'volume': '587.55', 'turnover': '59308988.0759', 'confirm': False, 'timestamp': 1738102759560}]
2025-01-28 23:19:20,699 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100915.3', 'high': '101080', 'low': '100731', 'volume': '590.18', 'turnover': '59574363.6244', 'confirm': False, 'timestamp': 1738102760560}]
2025-01-28 23:19:22,650 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100915.5', 'high': '101080', 'low': '100731', 'volume': '590.193', 'turnover': '59575675.5256', 'confirm': False, 'timestamp': 1738102762559}]
2025-01-28 23:19:23,625 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100915.4', 'high': '101080', 'low': '100731', 'volume': '590.207', 'turnover': '59577088.3412', 'confirm': False, 'timestamp': 1738102763560}]
2025-01-28 23:19:24,612 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100915.4', 'high': '101080', 'low': '100731', 'volume': '590.232', 'turnover': '59579611.2267', 'confirm': False, 'timestamp': 1738102764559}]
